rank,total_error_pct,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,π_к_полн,η_к_полн,err_π_к_pct,err_η_к_pct
115,8.107501014670268,0.45,0.45,0.4,0.3,0.17,17.93750466090004,0.8240418622455636,1.4422820829668135,6.665218931703455
116,8.118300270761745,0.35,0.5,0.55,0.25,0.24,18.500418927359537,0.8257862032716813,1.6506534470304244,6.467646823731322
117,8.118542568393119,0.55,0.45,0.45,0.3,0.15,17.796994219552396,0.8307605878105696,2.2143174749868337,5.904225093406286
118,8.121955401879761,0.45,0.45,0.35,0.3,0.2,18.214568036080788,0.8118872068562512,0.0800441542900479,8.041911247589715
119,8.127895396916312,0.6,0.5,0.55,0.25,0.24,17.89667351124291,0.825842535835376,1.666629059104891,6.461266337811422
120,8.151849457639244,0.6,0.45,0.35,0.3,0.16,18.23800727288575,0.8127603212269304,0.2088311697019225,7.9430182879373215
121,8.154977318941805,0.55,0.55,0.45,0.25,0.24,17.866882044786426,0.8270486270651638,1.830318435239416,6.324658883702389
122,8.161169489351655,0.35,0.45,0.35,0.3,0.25,18.21457303828403,0.8115412329244684,0.08007163892324484,8.08109785042841
123,8.169833039793168,0.3,0.5,0.55,0.25,0.15,17.87638757142793,0.8264563512558716,1.7780902668795011,6.391742772913668
124,8.174331766719744,0.35,0.55,0.45,0.25,0.18,18.530655046517357,0.8267582723566761,1.816785969875589,6.357545796844155
125,8.174799951728346,0.6,0.55,0.45,0.25,0.21,17.867000323089634,0.8268678776380287,1.8296685544525557,6.3451313972757895
126,8.180934428390167,0.6,0.6,0.4,0.25,0.15,18.30525289263727,0.815765641715912,0.5783125969080818,7.602621831482084
127,8.188151650243203,0.55,0.45,0.6,0.25,0.18,17.941819157055594,0.8231205095178233,1.4185760601340949,6.769575590109107
128,8.188383232170803,0.4,0.5,0.55,0.25,0.17,17.875618256970313,0.8263298934883264,1.7823172693938818,6.406065962776922
129,8.2004589033936,0.45,0.45,0.35,0.3,0.21,18.170197286354682,0.8119331481085129,0.16375117387536908,8.03670772951823
130,8.210609473841739,0.45,0.5,0.35,0.3,0.17,17.99335755066822,0.8204220867052869,1.1353980732515252,7.075211400590213
131,8.220885355252395,0.3,0.45,0.6,0.25,0.15,17.92757682331086,0.8235224080063133,1.4968306411491092,6.7240547141032865
132,8.235088563888727,0.35,0.5,0.35,0.3,0.16,17.993309613874157,0.820208289113695,1.1356614622299037,7.099427101658823
133,8.238919404064326,0.5,0.5,0.55,0.25,0.22,18.51657561608333,0.8255050376187587,1.739426461996321,6.499492942068005
134,8.246103713171719,0.5,0.45,0.6,0.25,0.18,18.46032126198443,0.8227126900029851,1.4303366043100547,6.815767108861665
135,8.247961074825376,0.5,0.5,0.5,0.25,0.15,18.633200252539474,0.8310827112524957,2.380221167799313,5.8677399070260625
136,8.252491129644639,0.45,0.4,0.6,0.25,0.2,18.388042783487183,0.8191500422373295,1.0332021070724386,7.219289022572201
137,8.260062006344535,0.35,0.6,0.4,0.25,0.16,18.06040607682983,0.8167329288669364,0.7669995778580827,7.493062428486452
138,8.265002252383532,0.5,0.6,0.4,0.25,0.22,18.065935865536076,0.8164210600482318,0.7366161234281488,7.528386128955382
139,8.27584647460307,0.6,0.6,0.4,0.25,0.19,18.071700646252534,0.8160456661708078,0.704941504106952,7.570904970496116
140,8.280628736949332,0.55,0.5,0.55,0.25,0.15,18.520940466720116,0.8253485312139404,1.7634091578028408,6.517219579146491
141,8.282989158595049,0.35,0.45,0.4,0.3,0.22,17.90770830016536,0.823937929728283,1.6059983507397735,6.676990807855275
142,8.283727618011481,0.35,0.5,0.5,0.25,0.22,18.644508559492404,0.8313155025121942,2.4423547224857427,5.841372895525739
143,8.306390423289187,0.35,0.4,0.6,0.25,0.19,18.401076006721432,0.8193064178506217,1.1048132237441362,7.201577199545051
144,8.313018067639273,0.35,0.5,0.55,0.25,0.23,18.535102995575823,0.8257495987802114,1.841225250416613,6.47179281722266
145,8.319532760806817,0.6,0.5,0.35,0.3,0.24,17.961524130920324,0.8210046659601846,1.310306972965248,7.00922578784157
146,8.32116460698931,0.5,0.6,0.4,0.25,0.16,18.337532734112177,0.8160934721598745,0.7556743632537224,7.565490243735587
147,8.3459047908481,0.55,0.6,0.4,0.25,0.18,18.054559300277585,0.8162586621203848,0.7991247237495277,7.546780067098573
148,8.349508009447288,0.55,0.45,0.4,0.3,0.19,18.498095444064028,0.8236321842182355,1.6378870552968585,6.71162095415043
149,8.354036429789799,0.35,0.45,0.35,0.3,0.24,18.24893657470997,0.811505420319849,0.26888227862620717,8.085154151163591
150,8.36231452838242,0.45,0.45,0.4,0.3,0.18,17.89010790098443,0.824091376776279,1.7027038407448927,6.659610687637526
151,8.372678803644943,0.5,0.55,0.45,0.25,0.17,18.560339580111513,0.8264470965741978,1.9798878028105173,6.392791000834426
152,8.378886737187058,0.45,0.45,0.35,0.3,0.19,18.260354659127664,0.8118399150909881,0.33161900619595985,8.047267730991098
