T_K,v,i,s,c_p, p_bar
600,1723,607.5,7.579,1.051,1
650,1867,660.3,7.664,1.063,1
700,2010,713.8,7.743,1.075,1
750,2154,767.9,7.817,1.087,1
800,2297,822.5,7.888,1.099,1
850,2441,877.7,7.955,1.110,1
900,2585,933.5,8.019,1.121,1
950,2728,989.8,8.080,1.131,1
1000,2872,1046.8,8.138,1.141,1
1050,3015,1103.9,8.194,1.150,1
1100,3159,1161.7,8.248,1.159,1
1150,3302,1219.9,8.299,1.167,1
1200,3446,1278.4,8.349,1.175,1
1250,3590,1337.3,8.397,1.182,1
1300,3733,1396.0,8.444,1.189,1ы
75,121.7,85.7,5.435,1.095,2
85,129.7,91.1,5.494,1.079,2
90,137.5,96.5,5.549,1.067,2
95,145.3,101.8,5.601,1.058,2
100,152.9,107.1,5.650,1.050,2
105,160.5,112.3,5.697,1.044,2
110,168.1,117.5,5.741,1.039,2
115,175.6,122.7,5.783,1.035,2
120,183.0,127.9,5.823,1.031,2
125,190.5,133.1,5.862,1.028,2
130,197.9,138.2,5.900,1.026,2
135,205.3,143.3,5.936,1.024,2
140,212.7,148.4,5.970,1.022,2
145,227.4,158.6,6.036,1.019,2
150,242.0,168.8,6.098,1.016,2
160,256.6,178.9,6.156,1.014,2
170,271.2,189.1,6.211,1.013,2
180,285.7,199.2,6.263,1.011,2
190,300.2,209.3,6.312,1.010,2
200,314.8,219.4,6.359,1.010,2
210,329.2,229.5,6.404,1.009,2
220,343.7,239.6,6.447,1.009,2
230,358.2,249.7,6.488,1.008,2
240,372.6,259.7,6.527,1.008,2
250,387.1,269.8,6.565,1.008,2
260,401.5,279.9,6.602,1.008,2
270,415.9,290.0,6.637,1.008,2
280,430.4,300.1,6.671,1.008,2
290,444.8,310.1,6.705,1.008,2
300,459.2,320.2,6.737,1.008,2
310,473.6,330.3,6.768,1.009,2
320,488.0,340.4,6.798,1.010,2
330,502.4,350.5,6.827,1.010,2
340,538.4,375.8,6.897,1.012,2
350,574.4,401.1,6.962,1.015,2
375,610.4,426.6,7.024,1.018,2
400,646.3,452.1,7.083,1.022,2
425,682.3,477.7,7.138,1.026,2
450,718.2,503.4,7.190,1.031,2
475,790.1,555.1,7.289,1.041,2
500,861.9,607.4,7.380,1.052,2
550,933.7,660.3,7.465,1.063,2
600,1006,713.8,7.544,1.075,2
650,1077,767.9,7.618,1.087,2
700,1149,822.5,7.689,1.099,2
750,1221,877.8,7.756,1.110,2
800,1293,933.6,7.820,1.121,2
850,1365,989.9,7.881,1.132,2
900,1436,1046.7,7.939,1.142,2
950,1505,1104.0,7.995,1.151,2
1000,1580,1161.8,8.049,1.159,2
1050,1652,1220.0,8.100,1.167,2
1100,1723,1278.5,8.150,1.175,2
1150,1795,1337.4,8.198,1.182,2
1200,1867,1396.6,8.245,1.189,2
95,84.05,89.1,5.363,1.129,3
100,89.54,94.7,5.420,1.108,3
105,94.92,100.2,5.474,1.091,3
110,100.2,105.6,5.524,1.078,3
115,105.4,110.9,5.572,1.068,3
120,110.6,116.2,5.617,1.060,3
125,115.7,121.5,5.660,1.053,3
130,120.8,126.8,5.701,1.047,3
135,125.9,132.0,5.741,1.042,3
140,130.9,137.2,5.779,1.038,3
145,135.9,142.4,5.815,1.035,3
150,140.9,147.6,5.850,1.031,3
160,150.8,157.9,5.917,1.027,3
170,160.7,168.1,5.979,1.023,3
180,170.5,178.3,6.037,1.020,3
190,180.3,188.5,6.092,1.018,3
200,190.0,198.7,6.144,1.016,3
210,199.8,208.8,6.194,1.014,3
220,209.5,219.0,6.241,1.013,3
230,219.2,229.1,6.286,1.012,3
240,228.9,239.2,6.329,1.011,3
250,238.6,249.3,6.370,1.011,3
260,248.2,259.4,6.410,1.010,3
270,257.9,269.5,6.448,1.010,3
280,267.5,279.6,6.485,1.010,3
290,277.2,289.7,6.520,1.010,3
300,286.8,299.8,6.554,1.010,3
310,296.5,309.9,6.588,1.010,3
320,306.1,320.0,6.620,1.010,3
330,315.7,330.1,6.651,1.010,3
340,325.3,340.2,6.681,1.011,3
350,335.0,350.3,6.710,1.012,3
375,359.0,375.6,6.780,1.013,3
400,383.0,401.0,6.845,1.016,3
425,407.0,426.5,6.907,1.019,3
450,431.0,452.0,6.965,1.023,3
475,455.0,477.6,7.021,1.027,3
500,479.0,503.3,7.074,1.031,3
550,526.9,555.1,7.172,1.041,3
600,574.8,607.4,7.263,1.052,3
650,622.7,660.3,7.348,1.064,3
700,670.6,713.8,7.427,1.076,3
750,718.5,767.9,7.502,1.088,3
800,766.4,822.6,7.573,1.099,3
850,814.3,877.8,7.640,1.110,3
900,862.2,933.6,7.703,1.121,3
950,910.0,989.9,7.764,1.132,3
1000,957.9,1046.8,7.822,1.142,3
1050,1006,1104.1,7.878,1.151,3
1100,1054,1161.8,7.932,1.159,3
1150,1101,1220.0,7.984,1.167,3
1200,1149,1278.6,8.034,1.175,3
1250,1197,1337.5,8.082,1.182,3
1300,1245,1396.7,8.128,1.189,3
95,65.46,92.7,5.324,1.155,4
100,69.69,98.4,5.380,1.129,4
105,73.81,104.0,5.432,1.110,4
110,77.85,109.5,5.481,1.095,4
115,81.84,115.0,5.527,1.082,4
120,85.78,120.4,5.571,1.072,4
125,89.68,125.7,5.613,1.064,4
130,93.54,131.0,5.653,1.057,4
135,97.38,136.3,5.691,1.052,4
140,101.2,141.5,5.728,1.047,4
145,105.0,146.7,5.764,1.042,4
150,112.5,157.1,5.831,1.036,4
160,120.0,167.4,5.893,1.030,4
170,127.4,177.7,5.952,1.026,4
180,134.8,188.0,6.007,1.023,4
190,142.2,198.2,6.060,1.020,4
200,149.5,208.4,6.110,1.018,4
210,156.9,218.6,6.157,1.017,4
220,164.2,228.7,6.202,1.015,4
230,171.5,238.9,6.245,1.014,4
240,178.8,249.0,6.286,1.013,4
250,186.0,259.1,6.326,1.013,4
260,193.3,269.3,6.364,1.012,4
270,200.6,279.4,6.401,1.012,4
280,207.8,289.5,6.437,1.011,4
290,215.1,299.6,6.471,1.011,4
300,222.3,309.7,6.504,1.011,4
310,229.5,319.8,6.536,1.011,4
320,236.8,329.9,6.568,1.012,4
330,244.0,340.1,6.598,1.012,4
340,251.2,350.2,6.627,1.013,4
350,269.3,375.5,6.697,1.014,4
375,287.3,400.9,6.763,1.017,4
400,305.3,426.4,6.825,1.020,4
425,323.3,451.9,6.883,1.023,4
450,341.3,474.5,6.938,1.027,4
475,359.3,503.2,6.991,1.031,4
500,395.3,555.1,7.090,1.041,4
550,431.3,607.4,7.181,1.052,4
600,467.2,660.3,7.266,1.064,4
650,503.2,713.8,7.345,1.076,4
700,539.1,767.9,7.419,1.088,4
750,575.0,822.6,7.490,1.099,4
800,610.9,877.8,7.557,1.111,4
850,646.9,933.6,7.621,1.122,4
900,682.8,990.0,7.682,1.132,4
950,718.7,1046.8,7.740,1.142,4
1000,754.6,1104.1,7.796,1.151,4
1050,790.5,1161.8,7.850,1.159,4
1100,826.4,1220.0,7.901,1.167,4
1150,862.3,1278.6,7.951,1.175,4
1200,898.2,1337.5,7.999,1.182,4
1250,934.1,1396.8,8.046,1.189,4
75,1.1183,-131.4,2.916,1.840,5
80,1.1470,-122.3,3.031,1.868,5
85,1.1790,-112.9,3.143,1.901,5
90,1.2150,-103.3,3.250,1.941,5
95,1.2559,-93.5,3.356,1.991,5
100,50.93,90.6,5.246,1.212,5
105,54.98,96.6,5.304,1.174,5
110,57.92,102.4,5.358,1.145,5
115,61.28,108.0,5.408,1.124,5
120,64.57,113.6,5.455,1.107,5
125,67.80,119.1,5.500,1.093,5
130,70.99,124.5,5.543,1.082,5
135,74.14,129.9,5.584,1.073,5
140,77.27,135.3,5.623,1.065,5
145,80.37,140.6,5.660,1.059,5
150,83.44,145.9,5.696,1.053,5
160,89.54,156.4,5.763,1.045,5
170,95.59,166.8,5.826,1.038,5
180,101.6,177.1,5.885,1.033,5
190,107.6,187.4,5.941,1.028,5
200,113.5,197.7,5.994,1.025,5
210,119.4,207.9,6.044,1.022,5
220,125.3,218.1,6.092,1.020,5
230,131.2,228.3,6.137,1.018,5
240,137.0,238.5,6.180,1.017,5
250,142.9,248.7,6.222,1.016,5
260,148.7,258.8,6.262,1.015,5
270,154.5,269.0,6.300,1.014,5
280,160.4,279.1,6.337,1.013,5
290,166.2,289.2,6.372,1.013,5
300,172.0,299.4,6.406,1.013,5
310,177.8,309.5,6.440,1.013,5
320,183.6,319.6,6.472,1.013,5
330,189.4,329.8,6.503,1.013,5
340,195.2,339.9,6.533,1.013,5
350,201.0,350.0,6.563,1.014,5
375,215.5,375.4,6.633,1.015,5
400,229.9,400.8,6.698,1.017,5
425,244.3,426.3,6.760,1.020,5
450,258.8,451.8,6.818,1.024,5
475,273.2,477.4,6.874,1.028,5
500,287.6,503.2,6.927,1.032,5
550,316.4,555.0,7.025,1.042,5
600,345.2,607.4,7.116,1.053,5
650,373.9,660.3,7.201,1.064,5
700,402.7,713.8,7.280,1.076,5
750,431.4,767.9,7.355,1.088,5
800,460.2,822.6,7.426,1.100,5
850,488.9,877.9,7.493,1.111,5
900,517.7,933.7,7.557,1.122,5
950,546.4,990.0,7.618,1.132,5
1000,575.1,1046.9,7.676,1.142,5
1050,603.9,1104.2,7.732,1.151,5
1100,632.6,1161.9,7.785,1.159,5
1150,661.3,1220.1,7.837,1.167,5
1200,690.0,1278.7,7.887,1.175,5
1250,718.8,1337.6,7.935,1.182,5
1300,747.5,1396.9,7.982,1.189,5
105,44.30,94.6,5.239,1.226,6
110,47.30,100.7,5.295,1.186,6
115,50.20,106.5,5.347,1.156,6
120,53.03,112.2,5.395,1.134,6
125,55.80,117.8,5.441,1.116,6
130,58.52,123.4,5.485,1.101,6
135,61.20,128.9,5.526,1.090,6
140,63.85,134.3,5.565,1.080,6
145,66.48,139.7,5.603,1.072,6
150,69.08,145.0,5.639,1.065,6
160,74.23,155.6,5.708,1.054,6
170,79.32,166.1,5.772,1.045,6
180,84.36,176.5,5.831,1.039,6
190,89.37,186.9,5.887,1.034,6
200,94.35,197.2,5.940,1.030,6
210,99.30,207.5,5.990,1.027,6
220,104.2,217.7,6.038,1.024,6
230,109.2,228.0,6.083,1.022,6
240,114.1,238.2,6.126,1.020,6
250,119.0,248.4,6.168,1.018,6
260,123.8,258.5,6.208,1.017,6
270,128.7,268.7,6.246,1.016,6
280,133.6,278.9,6.283,1.015,6
290,138.4,289.0,6.319,1.015,6
300,143.3,299.2,6.354,1.014,6
310,148.2,309.3,6.387,1.014,6
320,153.0,319.4,6.419,1.014,6
330,157.8,329.6,6.450,1.014,6
340,162.7,339.7,6.480,1.014,6
350,167.5,349.9,6.510,1.015,6
375,179.6,375.3,6.580,1.016,6
400,191.6,400.7,6.645,1.018,6
425,203.7,426.2,6.707,1.021,6
450,215.7,451.8,6.766,1.024,6
475,227.7,477.4,6.822,1.028,6
500,239.7,503.1,6.874,1.032,6
550,263.7,555.0,6.973,1.042,6
600,287.7,607.4,7.064,1.053,6
650,311.7,660.3,7.149,1.064,6
700,335.7,713.8,7.228,1.076,6
750,359.7,767.9,7.303,1.088,6
800,383.6,822.6,7.373,1.100,6
850,407.6,877.9,7.440,1.111,6
900,431.5,933.7,7.504,1.122,6
950,455.5,990.1,7.565,1.132,6
1000,479.4,1046.9,7.623,1.142,6
1050,503.4,1104.2,7.679,1.151,6
1100,527.8,1162.0,7.733,1.159,6
1150,551.8,1220.2,7.785,1.167,6
1200,575.2,1278.8,7.835,1.175,6
1250,599.2,1337.7,7.883,1.182,6
1300,623.1,1396.9,7.929,1.189,6
105,31.43,90.4,5.127,1.361,8
110,33.93,97.0,5.188,1.285,8
115,36.29,103.3,5.244,1.233,8
120,38.56,109.3,5.296,1.195,8
125,40.76,115.2,5.344,1.166,8
130,42.91,121.0,5.389,1.144,8
135,45.01,126.7,5.432,1.126,8
140,47.07,132.3,5.473,1.111,8
145,49.11,137.8,5.512,1.099,8
150,51.12,143.3,5.549,1.089,8
160,55.08,154.1,5.619,1.073,8
170,58.98,164.7,5.683,1.061,8
180,62.83,175.3,5.743,1.052,8
190,66.64,185.8,5.800,1.045,8
200,70.42,196.2,5.854,1.039,8
210,74.18,206.6,5.904,1.035,8
220,77.92,216.9,5.952,1.031,8
230,81.65,227.2,5.998,1.028,8
240,85.36,237.5,6.042,1.025,8
250,89.06,247.7,6.084,1.023,8
260,92.74,257.9,6.124,1.022,8
270,96.42,268.1,6.162,1.020,8
280,100.1,278.3,6.199,1.019,8
290,103.8,288.5,6.235,1.018,8
300,107.4,298.7,6.270,1.018,8
310,111.1,308.9,6.303,1.017,8
320,114.7,319.0,6.335,1.017,8
330,118.4,329.2,6.366,1.017,8
340,122.0,339.4,6.396,1.017,8
350,125.6,349.6,6.426,1.017,8
375,134.7,375.0,6.496,1.018,8
400,143.8,400.5,6.562,1.020,8
425,152.8,426.0,6.624,1.022,8
450,161.9,451.6,6.683,1.025,8
475,170.9,477.3,6.739,1.029,8
500,179.9,503.0,6.791,1.033,8
550,198.0,554.9,6.890,1.043,8
600,216.0,607.3,6.981,1.054,8
650,234.0,660.3,7.066,1.065,8
700,252.0,713.9,7.145,1.077,8
750,270.0,768.0,7.220,1.089,8
800,287.9,822.7,7.291,1.100,8
850,305.9,878.0,7.358,1.111,8
900,323.9,933.8,7.421,1.122,8
950,341.9,990.2,7.482,1.132,8
1000,359.8,1047.1,7.541,1.142,8
1050,377.8,1104.4,7.597,1.151,8
1100,395.8,1162.1,7.650,1.160,8
1150,413.7,1220.3,7.702,1.168,8
1200,431.7,1278.9,7.752,1.175,8
1250,449.6,1337.8,7.800,1.182,8
1300,467.6,1397.1,7.847,1.189,8
75,1.1171,-131.1,2.913,1.836,10
80,1.1456,-122.0,3.028,1.863,10
85,1.1773,-112.6,3.139,1.894,10
90,1.2128,-103.1,3.246,1.932,10
95,1.2531,-93.3,3.351,1.979,10
100,1.2995,-83.2,3.452,2.041,10
105,1.3544,-72.8,3.552,2.133,10
110,25.78,92.9,5.097,1.422,10
115,27.87,99.7,5.158,1.332,10
120,29.83,106.2,5.214,1.270,10
125,31.70,112.5,5.264,1.226,10
130,33.51,118.5,5.311,1.193,10
135,35.27,124.4,5.356,1.167,10
140,36.99,130.2,5.398,1.146,10
145,38.67,135.9,5.438,1.129,10
150,40.33,141.5,5.476,1.115,10
160,43.58,152.5,5.548,1.093,10
170,46.77,163.4,5.614,1.077,10
180,49.91,174.1,5.675,1.065,10
190,53.00,184.7,5.732,1.056,10
200,56.07,195.2,5.786,1.049,10
210,59.12,205.7,5.837,1.043,10
220,62.14,216.1,5.885,1.038,10
230,65.15,226.4,5.931,1.034,10
240,68.14,236.7,5.975,1.031,10
250,71.12,247.0,6.017,1.028,10
260,74.09,257.3,6.058,1.026,10
270,77.05,267.6,6.097,1.024,10
280,80.00,277.8,6.134,1.023,10
290,82.95,288.0,6.169,1.022,10
300,85.89,298.3,6.204,1.021,10
310,88.82,308.5,6.238,1.020,10
320,91.75,318.7,6.270,1.020,10
330,94.68,328.9,6.301,1.019,10
340,97.60,339.1,6.331,1.019,10
350,100.5,349.2,6.361,1.019,10
375,107.8,374.7,6.431,1.020,10
400,115.1,400.2,6.497,1.021,10
425,122.3,425.8,6.559,1.024,10
450,129.6,451.4,6.618,1.027,10
475,136.8,477.1,6.674,1.030,10
500,144.0,502.9,6.727,1.034,10
550,158.5,554.9,6.826,1.044,10
600,172.9,607.3,6.917,1.055,10
650,187.3,660.3,7.002,1.066,10
700,201.7,713.9,7.081,1.077,10
750,216.1,768.0,7.156,1.089,10
800,230.5,822.7,7.226,1.100,10
850,244.9,878.0,7.293,1.111,10
900,259.3,933.9,7.357,1.122,10
950,273.7,990.3,7.418,1.132,10
1000,288.1,1047.2,7.477,1.142,10
1050,302.4,1104.5,7.533,1.151,10
1100,316.8,1162.2,7.536,1.160,10
1150,331.2,1220.4,7.538,1.168,10
1200,345.6,1279.0,7.688,1.175,10
1250,359.9,1338.0,7.736,1.182,10
1300,374.3,1397.2,7.783,1.189,10
75,1.1159,-130.7,2.910,1.832,15
80,1.1442,-121.6,3.025,1.858,15
85,1.1755,-112.3,3.136,1.887,15
90,1.2106,-102.8,3.243,1.924,15
95,1.2503,-93.1,3.347,1.968,15
100,1.2958,-83.1,3.447,2.025,15
105,1.3493,-72.8,3.546,2.109,15
110,1.4143,-61.9,3.646,2.244,15
115,16.26,89.0,4.972,1.767,15
120,17.25,97.2,5.042,1.560,15
125,19.47,104.8,5.103,1.436,15
130,20.87,111.7,5.158,1.353,15
135,22.22,118.3,5.207,1.295,15
140,23.49,124.6,5.254,1.250,15
145,24.72,130.8,5.296,1.216,15
150,25.92,136.8,5.338,1.189,15
160,28.38,148.5,5.414,1.150,15
170,30.63,159.8,5.483,1.122,15
180,34.83,170.9,5.546,1.101,15
190,35.84,181.8,5.605,1.086,15
200,37.11,192.7,5.661,1.074,15
210,39.21,203.3,5.713,1.064,15
220,41.28,213.9,5.764,1.057,15
230,43.34,224.5,5.809,1.051,15
240,45.39,235.0,5.854,1.046,15
250,47.42,245.4,5.896,1.041,15
260,49.44,255.8,5.937,1.038,15
270,51.45,266.2,5.976,1.035,15
280,53.45,276.5,6.019,1.032,15
290,55.45,286.8,6.050,1.030,15
300,57.44,297.1,6.085,1.028,15
310,59.43,307.4,6.119,1.027,15
320,61.41,317.7,6.151,1.026,15
330,63.39,327.9,6.182,1.025,15
340,65.36,338.2,6.213,1.025,15
350,67.33,348.4,6.243,1.025,15
375,72.24,374.0,6.314,1.024,15
400,77.14,399.6,6.380,1.026,15
425,82.03,425.3,6.442,1.027,15
450,86.90,451.0,6.501,1.030,15
475,91.77,476.8,6.557,1.033,15
500,96.72,502.6,6.610,1.037,15
550,106.3,554.7,6.709,1.046,15
600,116.0,607.2,6.800,1.056,15
650,125.7,660.3,6.885,1.067,15
700,135.3,713.9,6.964,1.078,15
750,145.0,768.1,7.039,1.090,15
800,154.6,822.9,7.110,1.101,15
850,164.3,878.2,7.177,1.112,15
900,173.9,934.2,7.244,1.123,15
950,183.6,990.6,7.302,1.133,15
1000,193.2,1047.5,7.360,1.143,15
1050,202.8,1104.8,7.416,1.152,15
1100,212.5,1162.6,7.470,1.160,15
1150,222.1,1220.8,7.522,1.168,15
1200,231.7,1279.4,7.572,1.176,15
1250,241.4,1338.3,7.620,1.183,15
1300,251.0,1397.6,7.666,1.189,15
75,1.1148,-130.4,2.907,1.828,20
80,1.1428,-121.3,3.022,1.853,20
85,1.1738,-112.0,3.138,1.881,20
90,1.2085,-102.5,3.239,1.916,20
95,1.2475,-92.8,3.343,1.957,20
100,1.2922,-82.9,3.442,2.010,20
105,1.3443,-72.7,3.540,2.086,20
110,1.4071,-62.0,3.639,2.205,20
115,1.4871,-50.5,3.741,2.425,20
120,11.59,85.2,4.882,2.237,20
125,13.12,95.2,4.963,1.813,20
130,14.42,103.7,5.030,1.604,20
135,15.59,111.4,5.088,1.476,20
140,16.67,118.5,5.140,1.390,20
145,17.70,125.3,5.187,1.328,20
150,18.69,131.8,5.232,1.281,20
160,20.56,144.3,5.312,1.215,20
170,22.34,156.2,5.384,1.171,20
180,24.06,167.7,5.450,1.141,20
190,25.74,179.0,5.511,1.118,20
200,27.38,190.1,5.568,1.101,20
210,28.99,201.1,5.622,1.087,20
220,30.58,211.9,5.672,1.076,20
230,32.15,222.6,5.720,1.068,20
240,33.71,233.2,5.765,1.061,20
250,35.25,243.8,5.808,1.055,20
260,36.79,254.3,5.849,1.050,20
270,38.31,264.8,5.889,1.046,20
280,39.83,275.2,5.927,1.042,20
290,41.34,285.6,5.963,1.039,20
300,42.84,296.0,5.998,1.037,20
310,44.34,306.4,6.032,1.035,20
320,45.84,316.8,6.065,1.033,20
330,47.33,327.1,6.097,1.032,20
340,48.82,337.4,6.128,1.031,20
350,50.30,347.7,6.158,1.030,20
375,53.99,373.4,6.229,1.029,20
400,57.67,399.1,6.295,1.029,20
425,61.34,424.9,6.358,1.030,20
450,64.99,450.7,6.417,1.033,20
475,68.64,476.5,6.473,1.036,20
500,72.29,502.4,6.526,1.039,20
550,79.56,554.6,6.625,1.047,20
600,86.81,607.2,6.716,1.057,20
650,94.05,660.3,6.801,1.067,20
700,101.3,714.0,6.881,1.079,20
750,108.5,768.2,6.956,1.091,20
800,115.7,823.0,7.027,1.102,20
850,122.9,878.4,7.094,1.112,20
900,130.1,934.3,7.158,1.123,20
950,137.3,990.8,7.219,1.134,20
1000,144.5,1047.7,7.277,1.143,20
1050,151.7,1105.1,7.333,1.152,20
1100,158.9,1162.9,7.387,1.161,20
1150,166.1,1221.1,7.439,1.169,20
1200,173.3,1279.7,7.489,1.176,20
1250,180.5,1338.7,7.537,1.183,20
1300,187.7,1398.0,7.583,1.190,20
75,1.1136,-130.0,2.905,1.824,25
80,1.1414,-121.0,3.019,1.849,25
85,1.1721,-111.7,3.130,1.875,25
90,1.2064,-102.2,3.236,1.908,25
95,1.2449,-92.6,3.339,1.947,25
100,1.2887,-82.7,3.438,1.996,25
105,1.3395,-72.6,3.535,2.065,25
110,1.4002,-62.1,3.632,2.170,25
115,1.4762,-50.8,3.732,2.357,25
120,1.5816,-38.1,3.841,2.784,25
125,8.944,82.2,4.815,2.772,25
130,10.36,93.9,4.908,2.057,25
135,11.51,103.4,4.979,1.755,25
140,12.52,111.7,5.040,1.584,25
145,13.45,119.3,5.093,1.473,25
150,14.32,126.5,5.142,1.395,25
160,15.94,139.9,5.228,1.292,25
170,17.45,152.5,5.304,1.227,25
180,18.89,164.5,5.373,1.183,25
190,20.29,176.2,5.436,1.152,25
200,21.65,187.6,5.495,1.129,25
210,22.97,198.8,5.549,1.111,25
220,24.27,209.8,5.600,1.096,25
230,25.56,220.7,5.649,1.085,25
240,26.83,231.5,5.695,1.076,25
250,28.09,242.2,5.739,1.068,25
260,29.93,252.8,5.781,1.061,25
270,30.57,263.4,5.821,1.056,25
280,31.80,274.0,5.859,1.052,25
290,33.02,284.5,5.896,1.048,25
300,34.24,294.9,5.931,1.045,25
310,35.45,305.4,5.965,1.042,25
320,36.66,315.8,5.998,1.040,25
330,37.86,326.2,6.030,1.038,25
340,39.06,336.6,6.061,1.036,25
350,40.26,346.9,6.091,1.035,25
375,43.23,372.8,6.162,1.033,25
400,46.19,398.6,6.229,1.033,25
425,49.14,424.4,6.292,1.034,25
450,52.08,450.3,6.352,1.035,25
475,55.01,476.2,6.408,1.038,25
500,57.94,502.2,6.460,1.041,25
550,63.77,554.4,6.560,1.049,25
600,69.59,607.1,6.652,1.059,25
650,75.39,660.3,6.737,1.069,25
700,81.18,714.0,6.817,1.080,25
750,86.97,768.3,6.892,1.092,25
800,92.75,823.2,6.962,1.103,25
850,98.53,878.6,7.029,1.114,25
900,104.3,934.6,7.093,1.124,25
950,110.1,991.0,7.154,1.134,25
1000,115.8,1043.0,7.213,1.143,25
1050,121.6,1105.4,7.260,1.152,25
1100,127.4,1163.2,7.323,1.161,25
1150,133.1,1221.4,7.374,1.169,25
1200,138.9,1280.1,7.424,1.176,25
1250,144.7,1339.1,7.472,1.183,25
1300,150.4,1398.4,7.519,1.189,25
75,1.1125,-129.7,2.902,1.820,30
80,1.1400,-120.6,3.016,1.844,30
85,1.1705,-111.4,3.126,1.870,30
90,1.2043,-102.0,3.232,1.900,30
95,1.2422,-92.4,3.335,1.937,30
100,1.2853,-82.6,3.433,1.983,30
105,1.3349,-72.5,3.529,2.045,30
110,1.3936,-62.1,3.625,2.139,30
115,1.4661,-51.0,3.723,2.300,30
120,1.5631,-38.8,3.829,2.684,30
125,1.7267,-23.4,3.954,3.910,30
130,7.367,80.7,4.772,3.197,30
135,8.662,93.9,4.871,2.271,30
140,9.682,104.0,4.945,1.871,30
145,10.57,102.8,5.007,1.668,30
150,11.38,120.8,5.061,1.538,30
160,12.84,135.3,5.155,1.381,30
170,14.19,148.6,5.235,1.290,30
180,15.45,161.2,5.307,1.230,30
190,16.65,173.3,5.373,1.188,30
200,17.82,185.0,5.433,1.158,30
210,18.96,196.4,5.489,1.135,30
220,20.07,207.7,5.541,1.117,30
230,21.17,218.8,5.590,1.103,30
240,22.25,229.7,5.637,1.091,30
250,23.32,240.6,5.681,1.081,30
260,24.37,251.4,5.723,1.073,30
270,25.41,262.1,5.764,1.067,30
280,26.45,272.7,5.803,1.061,30
290,27.48,283.3,5.840,1.057,30
300,28.51,293.8,5.876,1.053,30
310,29.53,304.3,5.910,1.049,30
320,30.54,314.8,5.943,1.046,30
330,31.55,325.3,5.975,1.044,30
340,32.56,335.7,6.006,1.042,30
350,33.57,346.1,6.037,1.041,30
375,36.06,372.1,6.108,1.038,30
400,38.54,398.0,6.175,1.037,30
425,41.01,423.9,6.238,1.037,30
450,43.48,449.9,6.298,1.038,30
475,45.93,475.9,6.354,1.040,30
500,48.37,501.9,6.407,1.043,30
550,53.25,554.3,6.507,1.051,30
600,58.11,607.1,6.599,1.060,30
650,62.95,660.3,6.684,1.070,30
700,67.79,714.1,6.764,1.081,30
750,72.62,768.5,6.839,1.092,30
800,77.44,823.4,6.910,1.103,30
850,82.26,878.8,6.977,1.114,30
900,87.08,934.8,7.041,1.125,30
950,91.89,991.3,7.102,1.135,30
1000,96.69,1048.2,7.160,1.144,30
1050,101.5,1105.6,7.216,1.153,30
1100,106.3,1163.5,7.270,1.161,30
1150,111.1,1221.8,7.322,1.169,30
1200,115.9,1280.4,7.372,1.177,30
1250,120.7,1339.4,7.420,1.184,30
1300,125.5,1398.8,7.467,1.190,30
75,1.1113,-129.3,2.900,1.816,35
80,1.1387,-120.3,3.014,1.839,35
85,1.1688,-111.1,3.123,1.864,35
90,1.2023,-101.7,3.228,1.893,35
95,1.2397,-92.1,3.330,1.928,35
100,1.2819,-82.4,3.428,1.970,35
105,1.3304,-72.4,3.524,2.027,35
110,1.3874,-62.1,3.619,2.111,35
115,1.4567,-52.2,3.715,2.251,35
120,1.5469,-39.4,3.817,2.521,35
125,1.6847,-25.3,3.933,3.285,35
130,1.995,0.9,4.127,5.550,35
135,6.435,81.2,4.749,3.325,35
140,7.572,94.8,4.849,2.324,35
145,8.472,105.4,4.923,1.941,35
150,9.255,114.5,4.985,1.723,35
160,10.63,130.4,5.088,1.486,35
170,11.85,144.6,5.174,1.359,35
180,12.99,157.8,5.249,1.280,35
190,14.06,170.3,5.317,1.227,35
200,15.10,182.4,5.379,1.189,35
210,16.10,194.1,5.436,1.160,35
220,17.08,205.6,5.489,1.138,35
230,18.04,216.9,5.539,1.120,35
240,18.98,228.0,5.587,1.106,35
250,19.91,239.0,5.632,1.095,35
260,20.82,249.9,5.675,1.085,35
270,21.73,260.7,5.715,1.078,35
280,22.63,271.5,5.754,1.071,35
290,23.53,282.2,5.792,1.065,35
300,24.42,292.8,5.828,1.061,35
310,25.30,303.4,5.863,1.057,35
320,26.18,313.9,5.897,1.053,35
330,27.05,324.4,5.929,1.050,35
340,27.92,334.9,5.960,1.048,35
350,28.79,345.4,5.990,1.046,35
375,30.94,371.5,6.062,1.042,35
400,33.08,397.5,6.130,1.041,35
425,35.21,423.5,6.193,1.040,35
450,37.33,449.5,6.252,1.041,35
475,39.44,475.6,6.308,1.043,35
500,41.54,501.7,6.362,1.046,35
550,45.73,554.1,6.462,1.053,35
600,49.91,607.0,6.554,1.062,35
650,54.07,660.3,6.639,1.072,35
700,58.22,714.2,6.719,1.082,35
750,63.37,768.6,6.794,1.093,35
800,66.51,823.5,6.865,1.104,35
850,70.65,879.0,6.932,1.115,35
900,74.78,935.0,6.996,1.125,35
950,78.90,991.5,7.057,1.135,35
1000,83.03,1048.5,7.116,1.144,35
1050,87.15,1105.9,7.172,1.153,35
1100,91.27,1163.8,7.226,1.162,35
1150,95.39,1222.1,7.278,1.170,35
1200,99.50,1280.8,7.328,1.177,35
