η_к_полн,π_к_полн,η_к_полн_0,π_к_полн_0,pi_rel_error,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,R_ср1,D_type,N_stupeney
0.8671889913918004,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.10666666666666667,0.24733333333333332,0.5,D_вт_const,42
0.8671889908362145,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.10666666666666667,0.25,0.5,D_вт_const,42
0.86718899058206,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.19133333333333333,0.5,D_вт_const,44
0.8671889897456716,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.20866666666666667,0.5,D_вт_const,45
0.8671889896195802,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.15,0.5,D_вт_const,41
0.8671889889197876,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.15266666666666667,0.5,D_вт_const,41
0.8671889885278213,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.5933333333333333,0.48,0.4766666666666666,0.1,0.214,0.5,D_вт_const,45
0.8671889875328932,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.158,0.5,D_вт_const,41
0.8671889873259611,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.5933333333333333,0.48,0.4766666666666666,0.1,0.21933333333333335,0.5,D_вт_const,45
0.86718898614001,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.22466666666666668,0.5,D_вт_const,45
0.8671889831412398,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.1753333333333333,0.5,D_вт_const,41
0.8671889823946054,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.242,0.5,D_вт_const,45
0.8671889818252123,18.199999999999996,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.18066666666666664,0.5,D_вт_const,41
0.8671889812754132,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.24733333333333332,0.5,D_вт_const,45
0.86718898072164,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.4766666666666666,0.1,0.25,0.5,D_вт_const,45
0.8671889805256064,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.186,0.5,D_вт_const,41
0.8671889792423298,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.19133333333333333,0.5,D_вт_const,41
0.8671889778935158,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.15,0.5,D_вт_const,36
0.8671889771886956,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.12000000000000001,0.15266666666666667,0.5,D_вт_const,36
0.867188975791837,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.158,0.5,D_вт_const,36
0.8671889751833777,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.20866666666666667,0.5,D_вт_const,41
0.8671889739685156,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.214,0.5,D_вт_const,41
0.8671889727695287,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.10666666666666667,0.21933333333333335,0.5,D_вт_const,41
0.8671889715863357,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.22466666666666668,0.5,D_вт_const,41
0.8671889678490862,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.242,0.5,D_вт_const,41
0.8671889667321501,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.24733333333333332,0.5,D_вт_const,41
0.8671889665353333,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.1753333333333333,0.5,D_вт_const,37
0.8671889661794594,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.4766666666666666,0.10666666666666667,0.25,0.5,D_вт_const,41
0.8671889652117417,18.199999999999996,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.4766666666666666,0.12000000000000001,0.18066666666666664,0.5,D_вт_const,37
